Article ID,Article Title,User Name,Resolve?,Include,Country,Exposure_Route,Chemical,Exposure  Model - new,Exposure_Model,Known models,Analysis  Method,Programming / Statistical analysis,Data,Population study,scope of study,year_of_study,Notes,User Note,Title,Journal,Authors
91158440,Linking the use of scented consumer products to consumer exposure to polycyclic musk fragrances,trine.husoy,,TRUE,,,"Cosmetic ingredients,Other",,,,,,,,,,,,Linking the use of scented consumer products to consumer exposure to polycyclic musk fragrances,J. Ind. Ecol.,"Wormuth, M.; Scheringer, M.; Hungerbuhler, K."
91158440,Linking the use of scented consumer products to consumer exposure to polycyclic musk fragrances,Maria.Kalyva,,TRUE,EU,Dermal,,Empirical equations,"Deterministic,Probabilistic",,"deterministic,probabilistic",not reported,"Factor,Frequency,Amount",population analysis,human exposure (HE) estimates only,2005,"Chemical:polycyclic musk fragrances; Data:weight fraction, density, thickness, area",,Linking the use of scented consumer products to consumer exposure to polycyclic musk fragrances,J. Ind. Ecol.,"Wormuth, M.; Scheringer, M.; Hungerbuhler, K."
91158441,Probabilistic exposure assessment of aggregate rates of dermal exposure of Japanese women and children to parabens in personal care products,tom+ontox-api,,,Asia,Dermal,,,Probabilistic,,,,,,,,,,Probabilistic exposure assessment of aggregate rates of dermal exposure of Japanese women and children to parabens in personal care products,Chemosphere,"Tokumura, M.; Nitta, S.; Hayashi, T.; Yamaguchi, R.; Wang, Q.; Miyake, Y.; Amagai, T.; Makino, M."
91158441,Probabilistic exposure assessment of aggregate rates of dermal exposure of Japanese women and children to parabens in personal care products,trine.husoy,,TRUE,Asia,Dermal,"Cosmetic ingredients,Non-persistent",Toolbox,,ConsExpo RIVM,"probabilistic,deterministic",other,"Concentration,Frequency,Amount, Rate",individual,HE associated with risk assessment,2020,,,Probabilistic exposure assessment of aggregate rates of dermal exposure of Japanese women and children to parabens in personal care products,Chemosphere,"Tokumura, M.; Nitta, S.; Hayashi, T.; Yamaguchi, R.; Wang, Q.; Miyake, Y.; Amagai, T.; Makino, M."
91158441,Probabilistic exposure assessment of aggregate rates of dermal exposure of Japanese women and children to parabens in personal care products,Maria.Kalyva,,TRUE,Asia,Dermal,"Cosmetic ingredients,Non-persistent",Toolbox,Probabilistic,ConsExpo RIVM,"deterministic,probabilistic",not reported,"Concentration,Amount, Rate,Frequency",individual,HE associated with risk assessment,2020,Chemical:parabens; Data:body weight,,Probabilistic exposure assessment of aggregate rates of dermal exposure of Japanese women and children to parabens in personal care products,Chemosphere,"Tokumura, M.; Nitta, S.; Hayashi, T.; Yamaguchi, R.; Wang, Q.; Miyake, Y.; Amagai, T.; Makino, M."
91158442,Inhalation exposure to ambient polycyclic aromatic hydrocarbons and lung cancer risk of Chinese population,tom+ontox-api,,,"North America,Asia",Inhalation,,,Probabilistic,,,,,,,,,,Inhalation exposure to ambient polycyclic aromatic hydrocarbons and lung cancer risk of Chinese population,Proc. Natl. Acad. Sci. U. S. A.,"Zhang, Y. X.; Tao, S.; Shen, H. Z.; Ma, J. M."
91158442,Inhalation exposure to ambient polycyclic aromatic hydrocarbons and lung cancer risk of Chinese population,Maria.Kalyva,,TRUE,Asia,Inhalation,Persistent,Mathematical model,Probabilistic,other,probabilistic,not reported,"Concentration, Rate",population analysis,HE associated with other health outcomes,2009,Chemical:polycyclic aromatic hydrocarbons,,Inhalation exposure to ambient polycyclic aromatic hydrocarbons and lung cancer risk of Chinese population,Proc. Natl. Acad. Sci. U. S. A.,"Zhang, Y. X.; Tao, S.; Shen, H. Z.; Ma, J. M."
91158442,Inhalation exposure to ambient polycyclic aromatic hydrocarbons and lung cancer risk of Chinese population,graciela.lopezsoop,,TRUE,Asia,Inhalation,Persistent,Mathematical model,,,probabilistic,not reported,"Concentration, Rate",population analysis,"HE associated with other health outcomes,HE associated with risk assessment",2009,,,Inhalation exposure to ambient polycyclic aromatic hydrocarbons and lung cancer risk of Chinese population,Proc. Natl. Acad. Sci. U. S. A.,"Zhang, Y. X.; Tao, S.; Shen, H. Z.; Ma, J. M."
91158443,Estimating human exposure to perfluoroalkyl acids via solid food and drinks: Implementation and comparison of different dietary assessment methods,tom+ontox-api,,,EU,Oral,,,"Statistical,Deterministic",,,,,,,,,,Estimating human exposure to perfluoroalkyl acids via solid food and drinks: Implementation and comparison of different dietary assessment methods,Environ. Res.,"Papadopoulou, E.; Poothong, S.; Koekkoek, J.; Lucattini, L.; Padilla-Sanchez, J. A.; Haugen, M.; Herzke, D.; Valdersnes, S.; Maage, A.; Cousins, I. T.; Leonards, P. E. G.; Smastuen Haug, L."
91158443,Estimating human exposure to perfluoroalkyl acids via solid food and drinks: Implementation and comparison of different dietary assessment methods,trine.husoy,,TRUE,EU,Oral,,,,,,,"Frequency,Amount",,,,,,Estimating human exposure to perfluoroalkyl acids via solid food and drinks: Implementation and comparison of different dietary assessment methods,Environ. Res.,"Papadopoulou, E.; Poothong, S.; Koekkoek, J.; Lucattini, L.; Padilla-Sanchez, J. A.; Haugen, M.; Herzke, D.; Valdersnes, S.; Maage, A.; Cousins, I. T.; Leonards, P. E. G.; Smastuen Haug, L."
91158443,Estimating human exposure to perfluoroalkyl acids via solid food and drinks: Implementation and comparison of different dietary assessment methods,Maria.Kalyva,,TRUE,EU,Oral,"PFASs,Persistent",Empirical equations,"Statistical,Deterministic",,"deterministic,statistical",stata,"Concentration,Consumption",individual,human exposure (HE) estimates only,2017,,,Estimating human exposure to perfluoroalkyl acids via solid food and drinks: Implementation and comparison of different dietary assessment methods,Environ. Res.,"Papadopoulou, E.; Poothong, S.; Koekkoek, J.; Lucattini, L.; Padilla-Sanchez, J. A.; Haugen, M.; Herzke, D.; Valdersnes, S.; Maage, A.; Cousins, I. T.; Leonards, P. E. G.; Smastuen Haug, L."
91158444,"Incidence of organochlorine pesticides in soils of Shenzhen, China",tom+ontox-api,,,Asia,"Inhalation,Oral",,,Deterministic,,,,,,,,,,"Incidence of organochlorine pesticides in soils of Shenzhen, China",J. Environ. Monit.,"Ni, H. G.; Cao, S. P.; Ji, L. Y.; Zeng, H."
91158444,"Incidence of organochlorine pesticides in soils of Shenzhen, China",trine.husoy,,TRUE,Asia,"Inhalation,Oral","Pesticide,Non-persistent,Persistent",Empirical equations,,other,deterministic,not reported,"Concentration,Frequency",population analysis,human exposure (HE) estimates only,2011,,,"Incidence of organochlorine pesticides in soils of Shenzhen, China",J. Environ. Monit.,"Ni, H. G.; Cao, S. P.; Ji, L. Y.; Zeng, H."
91158444,"Incidence of organochlorine pesticides in soils of Shenzhen, China",Maria.Kalyva,,TRUE,Asia,"Oral,Inhalation",Pesticide,Empirical equations,,other,deterministic,not reported,Concentration,"age groups,population analysis",human exposure (HE) estimates only,2011,Known models:Multimedia Exposure Assessment Model by USEPA; Data:body weight,,"Incidence of organochlorine pesticides in soils of Shenzhen, China",J. Environ. Monit.,"Ni, H. G.; Cao, S. P.; Ji, L. Y.; Zeng, H."
91158446,Personal Exposure and Dose of Inhaled Ambient Particulate Matter Bound Metals in Five European Cities,tom+ontox-api,,,EU,Inhalation,,,"Probabilistic,Deterministic",,,,,,,,,,Personal Exposure and Dose of Inhaled Ambient Particulate Matter Bound Metals in Five European Cities,Aerosol Air Qual. Res.,"Mammi-Galani, E.; Chalvatzaki, E.; Lazaridis, M."
91158446,Personal Exposure and Dose of Inhaled Ambient Particulate Matter Bound Metals in Five European Cities,Maria.Kalyva,,TRUE,,,,,,,"probabilistic,model simulations",,,,"HE associated with liver toxicity,HE associated with kidney toxicity",2016,"Chemical:Pb, Cd, As; Known models:ExDoM; Data:deposition fraction, size distribution, density, shape, breathing pattern",,Personal Exposure and Dose of Inhaled Ambient Particulate Matter Bound Metals in Five European Cities,Aerosol Air Qual. Res.,"Mammi-Galani, E.; Chalvatzaki, E.; Lazaridis, M."
91158446,Personal Exposure and Dose of Inhaled Ambient Particulate Matter Bound Metals in Five European Cities,graciela.lopezsoop,,TRUE,EU,Inhalation,Metals,Mathematical model,,other,model simulations,not reported," Rate,Concentration,Other,Amount,Factor",population analysis,human exposure (HE) estimates only,,,,Personal Exposure and Dose of Inhaled Ambient Particulate Matter Bound Metals in Five European Cities,Aerosol Air Qual. Res.,"Mammi-Galani, E.; Chalvatzaki, E.; Lazaridis, M."
91158447,Development of a spatial stochastic multimedia exposure model to assess population exposure at a regional scale,tom+ontox-api,,,EU,"Oral,Inhalation",,,Probabilistic,,,,,,,,,,Development of a spatial stochastic multimedia exposure model to assess population exposure at a regional scale,Sci. Total Environ.,"Caudeville, J.; Bonnard, R.; Boudet, C.; Denys, S.; Govaert, G.; Cicolella, A."
91158447,Development of a spatial stochastic multimedia exposure model to assess population exposure at a regional scale,trine.husoy,,TRUE,EU,"Oral,Inhalation",Metals,Empirical equations,,other,"deterministic,probabilistic",Excel,"GIS, Rate,Consumption",population analysis,HE associated with risk assessment,2012,,,Development of a spatial stochastic multimedia exposure model to assess population exposure at a regional scale,Sci. Total Environ.,"Caudeville, J.; Bonnard, R.; Boudet, C.; Denys, S.; Govaert, G.; Cicolella, A."
91158447,Development of a spatial stochastic multimedia exposure model to assess population exposure at a regional scale,Maria.Kalyva,,TRUE,EU,"Oral,Inhalation",Metals,Empirical equations,,other,"deterministic,probabilistic",Excel,"Concentration,Consumption, Rate",population analysis,HE associated with risk assessment,2012,Data:body weight,,Development of a spatial stochastic multimedia exposure model to assess population exposure at a regional scale,Sci. Total Environ.,"Caudeville, J.; Bonnard, R.; Boudet, C.; Denys, S.; Govaert, G.; Cicolella, A."
91158448,Occurrence and risk assessment of potentially toxic elements and typical organic pollutants in contaminated rural soils,tom+ontox-api,,,Asia,"Oral,Dermal,Inhalation",,,"Deterministic,Statistical",,,,,,,,,,Occurrence and risk assessment of potentially toxic elements and typical organic pollutants in contaminated rural soils,Sci. Total Environ.,"Xu, Y.; Dai, S.; Meng, K.; Wang, Y.; Ren, W.; Zhao, L.; Christie, P.; Teng, Y."
91158448,Occurrence and risk assessment of potentially toxic elements and typical organic pollutants in contaminated rural soils,Maria.Kalyva,,TRUE,Asia,"Oral,Dermal,Inhalation",Phthalates,Empirical equations,,,"deterministic,statistical",other,"Concentration,Frequency,Duration, Rate,Factor",population analysis,HE associated with risk assessment,2017,"Chemical:phthalate esters (PAEs), polycyclic aromatic hydrocarbons (PAHs); Programming / Statistical analysis:SPSS",,Occurrence and risk assessment of potentially toxic elements and typical organic pollutants in contaminated rural soils,Sci. Total Environ.,"Xu, Y.; Dai, S.; Meng, K.; Wang, Y.; Ren, W.; Zhao, L.; Christie, P.; Teng, Y."
91158448,Occurrence and risk assessment of potentially toxic elements and typical organic pollutants in contaminated rural soils,graciela.lopezsoop,,TRUE,Asia,"Oral,Dermal,Inhalation","Phthalates,Other,Metals",Empirical equations,,,statistical,other,"Concentration, Rate,Frequency,Duration,Factor",population analysis,HE associated with risk assessment,2017,,,Occurrence and risk assessment of potentially toxic elements and typical organic pollutants in contaminated rural soils,Sci. Total Environ.,"Xu, Y.; Dai, S.; Meng, K.; Wang, Y.; Ren, W.; Zhao, L.; Christie, P.; Teng, Y."
91158449,Modelling aggregate exposure to pesticides from dietary and crop spray sources in UK residents,gunn.vist,,TRUE,EU,"Oral,Inhalation,Dermal",Pesticide,Toolbox,Probabilistic,"other,MCRA RIVM/EFSA","probabilistic,model simulations",not reported,"Amount,Consumption,Frequency","population analysis,individual",HE associated with liver toxicity,2014,,,Modelling aggregate exposure to pesticides from dietary and crop spray sources in UK residents,Environ. Sci. Pollut. Res. Int.,"Kennedy, M. C.; Garthwaite, D. G.; de Boer, W. J.; Kruisselbrink, J. W."
91158449,Modelling aggregate exposure to pesticides from dietary and crop spray sources in UK residents,tom+ontox-api,,,EU,"Oral,Dermal,Inhalation",,,Probabilistic,,,,,,,,,,Modelling aggregate exposure to pesticides from dietary and crop spray sources in UK residents,Environ. Sci. Pollut. Res. Int.,"Kennedy, M. C.; Garthwaite, D. G.; de Boer, W. J.; Kruisselbrink, J. W."
91158449,Modelling aggregate exposure to pesticides from dietary and crop spray sources in UK residents,Maria.Kalyva,,TRUE,EU,"Oral,Dermal,Inhalation",Pesticide,Toolbox,,MCRA RIVM/EFSA,"probabilistic,model simulations",not reported,"Dose, Rate,Concentration,Consumption,Amount,Frequency,Factor","individual,population analysis",HE associated with liver toxicity,2014,Known models:Browse model,,Modelling aggregate exposure to pesticides from dietary and crop spray sources in UK residents,Environ. Sci. Pollut. Res. Int.,"Kennedy, M. C.; Garthwaite, D. G.; de Boer, W. J.; Kruisselbrink, J. W."
91158450,First report on probabilistic risk assessment of pesticide residues in a riverine ecosystem in South-South Nigeria,tom+ontox-api,,,Africa,"Oral,Dermal,Inhalation",,,"Deterministic,Probabilistic,Statistical",,,,,,,,,,First report on probabilistic risk assessment of pesticide residues in a riverine ecosystem in South-South Nigeria,Chemosphere,"Ogbeide, O.; Uhunamure, G.; Okundaye, F.; Ejeomo, C."
91158450,First report on probabilistic risk assessment of pesticide residues in a riverine ecosystem in South-South Nigeria,trine.husoy,,TRUE,,,,,,,,,,,,,,,First report on probabilistic risk assessment of pesticide residues in a riverine ecosystem in South-South Nigeria,Chemosphere,"Ogbeide, O.; Uhunamure, G.; Okundaye, F.; Ejeomo, C."
91158450,First report on probabilistic risk assessment of pesticide residues in a riverine ecosystem in South-South Nigeria,Maria.Kalyva,,TRUE,Africa,"Oral,Dermal,Inhalation","Pesticide,Persistent",Empirical equations,"Deterministic,Probabilistic,Statistical",,"deterministic,probabilistic,statistical",other,"Concentration, Rate,Frequency,Duration,Factor",age groups,"HE associated with other health outcomes,HE associated with risk assessment",2019,"Chemical:organochlorine pesticides (OCPs); Programming / Statistical analysis:Minitab 18,Statistica 8.0; Data:surface area, body weight, dermal permeability, average life span,lag time, absorption ratio",,First report on probabilistic risk assessment of pesticide residues in a riverine ecosystem in South-South Nigeria,Chemosphere,"Ogbeide, O.; Uhunamure, G.; Okundaye, F.; Ejeomo, C."
91158451,Exposure of the Flemish population to brominated flame retardants: model and risk assessment,tom+ontox-api,,,EU,"Oral,Inhalation",,,Deterministic,,,,,,,,,,Exposure of the Flemish population to brominated flame retardants: model and risk assessment,Environ. Int.,"Roosens, L.; Cornelis, C.; D'Hollander, W.; Bervoets, L.; Reynders, H.; Van Campenhout, K.; Van Den Heuvel, R.; Neels, H.; Covaci, A."
91158451,Exposure of the Flemish population to brominated flame retardants: model and risk assessment,trine.husoy,,TRUE,EU,"Oral,Inhalation",Persistent,Toolbox,,,probabilistic,CrystalBallTM Oracle,"Concentration,Duration,Consumption, Rate,Amount",population analysis,HE associated with risk assessment,2010,Chemical:brominated flame retardants (BFR),,Exposure of the Flemish population to brominated flame retardants: model and risk assessment,Environ. Int.,"Roosens, L.; Cornelis, C.; D'Hollander, W.; Bervoets, L.; Reynders, H.; Van Campenhout, K.; Van Den Heuvel, R.; Neels, H.; Covaci, A."
91158451,Exposure of the Flemish population to brominated flame retardants: model and risk assessment,Maria.Kalyva,,TRUE,EU,"Oral,Inhalation",Persistent,Mathematical model,,,probabilistic,other,"Concentration,Consumption,Duration,Amount, Rate","population analysis,age groups",HE associated with risk assessment,2010,Programming / Statistical analysis:CrystalBallTM Oracle,,Exposure of the Flemish population to brominated flame retardants: model and risk assessment,Environ. Int.,"Roosens, L.; Cornelis, C.; D'Hollander, W.; Bervoets, L.; Reynders, H.; Van Campenhout, K.; Van Den Heuvel, R.; Neels, H.; Covaci, A."
91158452,Health risk assessment of dermal and inhalation exposure to deodorants in Korea,gunn.vist,,TRUE,Asia,"Dermal,Inhalation",Cosmetic ingredients,Empirical equations,Deterministic,,deterministic,,"Concentration,Frequency,Duration,Amount",individual,human exposure (HE) estimates only,2016,,,Health risk assessment of dermal and inhalation exposure to deodorants in Korea,Sci. Total Environ.,"Kim, J. H.; Kim, T.; Yoon, H.; Jo, A.; Lee, D.; Kim, P.; Seo, J."
91158452,Health risk assessment of dermal and inhalation exposure to deodorants in Korea,tom+ontox-api,,,Asia,"Dermal,Inhalation",,,Deterministic,,,,,,,,,,Health risk assessment of dermal and inhalation exposure to deodorants in Korea,Sci. Total Environ.,"Kim, J. H.; Kim, T.; Yoon, H.; Jo, A.; Lee, D.; Kim, P.; Seo, J."
91158452,Health risk assessment of dermal and inhalation exposure to deodorants in Korea,Maria.Kalyva,,TRUE,Asia,"Dermal,Inhalation",Cosmetic ingredients,Empirical equations,,,deterministic,not reported,"Concentration,Frequency,Duration,Amount, Rate","individual,age groups",HE associated with risk assessment,2016,"Data:volume, absorption ratio, body weight, fraction of substance",,Health risk assessment of dermal and inhalation exposure to deodorants in Korea,Sci. Total Environ.,"Kim, J. H.; Kim, T.; Yoon, H.; Jo, A.; Lee, D.; Kim, P.; Seo, J."
91158454,Management options to reduce exposure to methyl mercury through the consumption of fish and fishery products by the French population,gunn.vist,,TRUE,EU,Oral,Metals,Empirical equations,Deterministic,,deterministic,,"Consumption,Concentration",age groups,human exposure (HE) estimates only,2003,,,Management options to reduce exposure to methyl mercury through the consumption of fish and fishery products by the French population,Regul. Toxicol. Pharmacol.,"Crepet, A.; Tressou, J.; Verger, P.; Leblanc, J. Ch"
91158454,Management options to reduce exposure to methyl mercury through the consumption of fish and fishery products by the French population,tom+ontox-api,,,EU,Oral,,,Deterministic,,,,,,,,,,Management options to reduce exposure to methyl mercury through the consumption of fish and fishery products by the French population,Regul. Toxicol. Pharmacol.,"Crepet, A.; Tressou, J.; Verger, P.; Leblanc, J. Ch"
91158454,Management options to reduce exposure to methyl mercury through the consumption of fish and fishery products by the French population,trine.husoy,,TRUE,EU,Oral,Metals,Empirical equations,,,deterministic,not reported,"Concentration,Consumption",age groups,,2003,,,Management options to reduce exposure to methyl mercury through the consumption of fish and fishery products by the French population,Regul. Toxicol. Pharmacol.,"Crepet, A.; Tressou, J.; Verger, P.; Leblanc, J. Ch"
91158455,Methyl mercury exposure from fish consumption in vulnerable racial/ethnic populations: Probabilistic SHEDS-Dietary model analyses using 1999-2006 NHANES and 1990-2002 TDS data,gunn.vist,,TRUE,North America,Oral,Metals,Mathematical model,,SHEDS-multimedia EPA,probabilistic,not reported,"Consumption,Concentration","population analysis,age groups","human exposure (HE) estimates only,validation biomonitoring",1990,,,Methyl mercury exposure from fish consumption in vulnerable racial/ethnic populations: Probabilistic SHEDS-Dietary model analyses using 1999-2006 NHANES and 1990-2002 TDS data,Sci. Total Environ.,"Xue, J. P.; Zartarian, V. G.; Liu, S. V.; Geller, A. M."
91158455,Methyl mercury exposure from fish consumption in vulnerable racial/ethnic populations: Probabilistic SHEDS-Dietary model analyses using 1999-2006 NHANES and 1990-2002 TDS data,tom+ontox-api,,,North America,"Oral,Dermal",,,Probabilistic,,,,,,,,,,Methyl mercury exposure from fish consumption in vulnerable racial/ethnic populations: Probabilistic SHEDS-Dietary model analyses using 1999-2006 NHANES and 1990-2002 TDS data,Sci. Total Environ.,"Xue, J. P.; Zartarian, V. G.; Liu, S. V.; Geller, A. M."
91158455,Methyl mercury exposure from fish consumption in vulnerable racial/ethnic populations: Probabilistic SHEDS-Dietary model analyses using 1999-2006 NHANES and 1990-2002 TDS data,Maria.Kalyva,,TRUE,North America,Oral,Metals,Toolbox,,SHEDS-multimedia EPA,probabilistic,,"Concentration,Consumption","population analysis,age groups","human exposure (HE) estimates only,validation biomonitoring",1990,Chemical:methyl mercury ,,Methyl mercury exposure from fish consumption in vulnerable racial/ethnic populations: Probabilistic SHEDS-Dietary model analyses using 1999-2006 NHANES and 1990-2002 TDS data,Sci. Total Environ.,"Xue, J. P.; Zartarian, V. G.; Liu, S. V.; Geller, A. M."
91158457,Comparison of modeled estimates of inhalation exposure to aerosols during use of consumer spray products,tom+ontox-api,,,"EU,Asia",Inhalation,,,"Deterministic,Probabilistic,Not determined",,,,,,,,,,Comparison of modeled estimates of inhalation exposure to aerosols during use of consumer spray products,Int. J. Hyg. Environ. Health,"Park, J.; Yoon, C.; Lee, K."
91158457,Comparison of modeled estimates of inhalation exposure to aerosols during use of consumer spray products,trine.husoy,,TRUE,Asia,"Oral,Dermal,Inhalation",,,,other,,,,,,2018,Known models:Sprayexpo,,Comparison of modeled estimates of inhalation exposure to aerosols during use of consumer spray products,Int. J. Hyg. Environ. Health,"Park, J.; Yoon, C.; Lee, K."
91158457,Comparison of modeled estimates of inhalation exposure to aerosols during use of consumer spray products,graciela.lopezsoop,,TRUE,Asia,"Inhalation,Dermal,Oral",Cosmetic ingredients,Script/Software,,"ConsExpo RIVM,other","deterministic,statistical",not reported,,population analysis,human exposure (HE) estimates only,,,,Comparison of modeled estimates of inhalation exposure to aerosols during use of consumer spray products,Int. J. Hyg. Environ. Health,"Park, J.; Yoon, C.; Lee, K."
91158458,"Health risks and economic costs of exposure to PCDD/Fs from open burning: a case study in Nairobi, Kenya",tom+ontox-api,,,Africa,Oral,,,"Probabilistic,Deterministic",,,,,,,,,,"Health risks and economic costs of exposure to PCDD/Fs from open burning: a case study in Nairobi, Kenya",Air Qual. Atmos. Health,"Shih, Y. H.; Kasaon, S. J.; Tseng, C. H.; Wang, H. C.; Chen, L. L.; Chang, Y. M."
91158458,"Health risks and economic costs of exposure to PCDD/Fs from open burning: a case study in Nairobi, Kenya",trine.husoy,,TRUE,,,"Persistent,Non-persistent",,,,,,Consumption,,,,,,"Health risks and economic costs of exposure to PCDD/Fs from open burning: a case study in Nairobi, Kenya",Air Qual. Atmos. Health,"Shih, Y. H.; Kasaon, S. J.; Tseng, C. H.; Wang, H. C.; Chen, L. L.; Chang, Y. M."
91158458,"Health risks and economic costs of exposure to PCDD/Fs from open burning: a case study in Nairobi, Kenya",Maria.Kalyva,,TRUE,Africa,Oral,Other,Mathematical model,"Deterministic,Probabilistic",other,"deterministic,probabilistic",not reported,"Concentration, Rate,Factor",population analysis,HE associated with other health outcomes,2016,Chemical:dioxins and furans (PCDD/Fs); Known models:CalTox,,"Health risks and economic costs of exposure to PCDD/Fs from open burning: a case study in Nairobi, Kenya",Air Qual. Atmos. Health,"Shih, Y. H.; Kasaon, S. J.; Tseng, C. H.; Wang, H. C.; Chen, L. L.; Chang, Y. M."
91158459,Combining regional- and local-scale air quality models with exposure models for use in environmental health studies,tom+ontox-api,,,North America,Inhalation,,,Probabilistic,,,,,,,,,,Combining regional- and local-scale air quality models with exposure models for use in environmental health studies,J. Air Waste Manag. Assoc.,"Isakov, V.; Touma, J. S.; Burke, J.; Lobdell, D. T.; Palma, T.; Rosenbaum, A.; Ozkaynak, H."
91158459,Combining regional- and local-scale air quality models with exposure models for use in environmental health studies,Maria.Kalyva,,TRUE,North America,Inhalation,"VOCs,Other",Mathematical model,Probabilistic,SHEDS-multimedia EPA,"probabilistic,model simulations",not reported,"Concentration, Rate,GIS,Duration,Factor",population analysis,human exposure (HE) estimates only,2009,Chemical:particulate matter; Known models:Hazardous Air Pollutant Exposure Model (HAPEM); Data:activity patters(duration),,Combining regional- and local-scale air quality models with exposure models for use in environmental health studies,J. Air Waste Manag. Assoc.,"Isakov, V.; Touma, J. S.; Burke, J.; Lobdell, D. T.; Palma, T.; Rosenbaum, A.; Ozkaynak, H."
